,bls_occupation,wd_occupation,bls_total,bls_p_women,wd_total,wd_women,wd_p_women
0,Aircraft pilots and flight engineers,"['astronaut', 'aviator', 'navigator']",129000.0,0.041,309.0,0.0,0.0
5,Bartenders,"['bartender', 'sommelier', 'oenologist']",412000.0,0.599,0.0,0.0,
6,Bill and account collectors,['treasurer'],206000.0,0.691,0.0,0.0,
7,Biological scientists,"['agronomist', 'horticulturist', 'forester', 'ecologist']",101000.0,0.501,83.0,0.0,0.0
13,Chemists and materials scientists,"['chemist', 'metallurgist']",105000.0,0.442,377.0,0.0,0.0
14,Chief executives,"['president and chief executive officer', 'hotel manager', 'manager', 'manager (professional wrestling)', 'businessperson', 'talent manager', 'business manager']",1513000.0,0.274,5022.0,0.0,0.0
18,Clergy,"['Rosh yeshiva', 'religious servant', 'saint', 'clergy', 'muhaddith', 'pasha', 'qadi', 'hermit']",408000.0,0.205,989.0,0.0,0.0
19,Clinical laboratory technologists and technicians,"['nutritionist', 'food chemist']",319000.0,0.728,64.0,0.0,0.0
20,Computer programmers,"['hacker', 'computer scientist']",480000.0,0.225,306.0,0.0,0.0
22,Construction laborers,['construction worker'],1387000.0,0.029,0.0,0.0,
23,Cooks,"['cook', 'baker', 'beekeeper', 'brewer', 'butcher', 'fisherman', 'hunter', 'pastry chef']",1970000.0,0.377,383.0,0.0,0.0
31,Designers,"['urban planner', 'game designer']",756000.0,0.553,19.0,0.0,0.0
32,Detectives and criminal investigators,['detective'],160000.0,0.248,0.0,0.0,
35,Driver/sales workers and truck drivers,"['co-driver', 'driver', 'salesperson']",3201000.0,0.054,0.0,0.0,
37,Electricians,"['technics', 'electrician']",692000.0,0.018,0.0,0.0,
38,Elementary and middle school teachers,['schoolmaster'],2838000.0,0.814,0.0,0.0,
40,"Engineers, all other","['business engineering', 'engineer']",359000.0,0.132,1752.0,0.0,0.0
41,Financial analysts,['financial analyst'],89000.0,0.368,0.0,0.0,
42,Firefighters,['firefighter'],295000.0,0.034,0.0,0.0,
43,Flight attendants,['flight attendant'],88000.0,0.776,22.0,0.0,0.0
44,Fundraisers,['lobbyist'],86000.0,0.753,37.0,0.0,0.0
46,"Hairdressers, hairstylists, and cosmetologists","['hairdresser', 'salon-holder', 'make-up artist', 'wardrobe stylist', 'perfumer']",785000.0,0.928,503.0,0.0,0.0
49,Lawyers,"['jurist', 'legislator']",1061000.0,0.311,3940.0,0.0,0.0
50,Librarians,"['librarian', 'law librarian', 'bibliophile']",181000.0,0.868,522.0,0.0,0.0
51,Logisticians,"['mathematician', 'philosopher', 'physicist', 'naturalist', 'academic']",94000.0,0.368,5303.0,0.0,0.0
52,Machinists,"['locksmith', 'Tool and die maker', 'machinist']",397000.0,0.038,0.0,0.0,
53,Maids and housekeeping cleaners,"['domestic worker', 'housewife']",1457000.0,0.881,69.0,1.0,0.0144927536232
60,Personal financial advisors,['accountant'],378000.0,0.312,24.0,0.0,0.0
63,Photographers,"['film crew member', 'film maker']",178000.0,0.522,15.0,0.0,0.0
65,Physicians and surgeons,['health care provider'],911000.0,0.343,4213.0,0.0,0.0
67,Police and sheriffâ€™s patrol officers,"['executioner', 'park ranger', 'law enforcement officer', 'torturer']",657000.0,0.126,109.0,0.0,0.0
70,Psychologists,['intelligence analysist'],178000.0,0.727,0.0,0.0,
71,Public relations specialists,"['spokesperson', 'communicator']",155000.0,0.582,27.0,0.0,0.0
73,Receptionists and information clerks,['clerk'],1237000.0,0.915,0.0,0.0,
78,Secretaries and administrative assistants,['secretary'],2904000.0,0.953,35.0,0.0,0.0
80,Social workers,['activist'],734000.0,0.806,1162.0,0.0,0.0
81,"Software developers, applications and systems software",['video game developer'],1084000.0,0.197,11.0,0.0,0.0
82,Special education teachers,"['educationist', 'lecturer', 'docent', 'faculty', 'dean', 'academic']",366000.0,0.862,2582.0,0.0,0.0
83,"Tax examiners and collectors, and revenue agents",['statutory auditor'],82000.0,0.624,0.0,0.0,
87,Telemarketers,['broadcaster'],97000.0,0.503,0.0,0.0,
88,Tellers,['bank teller'],380000.0,0.873,0.0,0.0,
92,Web developers,['webmaster'],190000.0,0.337,0.0,0.0,
93,"Welding, soldering, and brazing workers","['miller', 'gunsmith', 'miner', 'shipbuilder']",593000.0,0.048,0.0,0.0,
94,Word processors and typists,"['typesetter', 'publisher', 'printer']",119000.0,0.887,250.0,0.0,0.0
95,Writers and authors,"['folklorist', 'naratteur', 'storyboard artist', 'literary']",208000.0,0.556,31.0,0.0,0.0
