,nan,transgender male,female,male
Q467606|Q12482|Q1166618|,,,,1.0
Q467606|Q12482|Q44325|,,,,1.0
Q467606|Q1636734|,,,,1.0
Q4698539|,,,,1.0
Q471872|,,,,1.0
Q47307|,,,,2.0
Q47307|Q18336|,,,,1.0
Q47307|Q494452|Q139106|,,,,1.0
Q47417|Q39680|,,,,1.0
Q47555|,,,,1.0
Q47555|Q47398|,,,,1.0
Q477248|,,,,1.0
Q4783125|,,,,1.0
Q4785493|,,,,1.0
Q478679|,,,,1.0
Q47883|,,,,1.0
Q47928|,,,,4.0
Q48196|,,,1.0,
Q482752|Q484181|,,,,1.0
Q482919|,,,,1.0
Q482919|Q1027879|,,,,1.0
Q482980|,,,,1.0
Q482980|Q37226|,,,,1.0
Q482|,,,11.0,55.0
Q482|Q1058629|,,,,1.0
Q482|Q1143847|,,,,1.0
Q482|Q185917|Q5898147|,,,,1.0
Q482|Q395|Q333|,,,,1.0
Q482|Q58854|,,,,1.0
Q482|Q676|Q7553|,,,,1.0
Q482|Q8242|Q11635|Q7553|,,,,1.0
Q48301|Q7264|Q9465|Q9471|Q35277|,,,,1.0
Q483396|,,,,1.0
Q483501|,,,1.0,
Q484181|,,,,11.0
Q484181|Q1172458|,,,,1.0
Q484181|Q2321196|Q13955|,,,,1.0
Q484181|Q2737409|,,,,9.0
Q484181|Q2737409|Q235258|,,,,1.0
Q484181|Q2737409|Q335414|,,,,1.0
Q484181|Q2737409|Q335414|Q309|,,,,1.0
Q484181|Q2737409|Q642379|,,,,1.0
Q484181|Q335414|,,,,4.0
Q484181|Q335414|Q2737409|Q16525233|,,,,1.0
Q484181|Q3552726|Q280817|,,,,1.0
Q484181|Q7163|,,,,1.0
Q484181|Q9603|,,,,1.0
Q484181|Q9603|Q280817|,,,,1.0
Q484591|,,,,3.0
Q484692|,,,1.0,
Q484761|Q9465|,,,,1.0
Q484847|Q22688|,,,,1.0
Q4853732|,,,1.0,
Q485|,,,,1.0
Q4868296|,,,,1.0
Q489119|,,,,1.0
Q49084|,,,,2.0
Q492264|,,,,2.0
Q492264|Q612024|Q1065742|,,,,1.0
Q4932206|,,,,2.0
Q4932206|Q36442|,,,,1.0
Q4932206|Q7163|,,,,1.0
Q49496|Q1233720|Q379321|,,,,1.0
Q495304|,,,1.0,1.0
Q495527|,,,,2.0
Q495527|Q34726|,,,,1.0
Q4964182|,,,,1.0
Q49757|,,,,2.0
Q49780|,,,,3.0
Q499578|,,,,1.0
Q50030|,,,1.0,
Q50030|Q133036|,,,1.0,
Q50030|Q93184|,,,1.0,
Q502038|Q338|,,,,1.0
Q503892|,,,,1.0
Q504033|,,,,1.0
Q5043|Q276258|Q829183|Q75809|Q9174|Q9465|Q34178|,,,1.0,
Q50636|,,,,1.0
Q50637|,,,1.0,11.0
Q50641|,,,1.0,1.0
Q50675|Q395|,,,,1.0
Q506858|,,,,1.0
Q50776|,,,,1.0
Q508969|Q190539|Q1455196|,,,1.0,
Q5098980|,,,1.0,
Q510487|,,,,1.0
Q5113|Q473236|Q191163|,,,,1.0
Q514|Q25261|,,,,1.0
Q515546|,,,,1.0
Q5165035|Q11042|Q7163|Q1195695|Q301751|Q735|Q34187|Q29051|Q223569|Q17898|Q8458|,,,,1.0
Q51739|,,,1.0,
Q5200157|,,,1.0,
Q52106|,,,,1.0
Q52107|Q8072|Q83471|Q4022|Q11473|Q60186|,,,1.0,
Q52139|,,,1.0,1.0
Q52|Q460162|Q166788|Q204686|Q439072|Q738680|Q565|Q486761|Q148499|Q627767|,,,,1.0
Q5306056|Q200751|Q790192|Q11425|,,,,1.0
Q5308718|,,,2.0,21.0
Q5308718|Q17358606|,,,,1.0
Q53121|,,,,4.0
Q5334416|,,,,1.0
Q53706|,,,,1.0
Q5375|,,,,2.0
Q5378|,,,,1.0
Q5378|Q765633|,,,,1.0
Q538925|,,,,1.0
Q539918|Q82245|Q395|,,,,1.0
Q540912|,,,1.0,1.0
Q5446356|,,,1.0,
Q54505|,,,1.0,1.0
Q5451|Q205204|,,,1.0,
Q5465542|,,,1.0,
Q547546|,,,,1.0
Q5482740|,,,,1.0
Q54837|,,,,1.0
Q54837|Q1412694|,,,,1.0
Q54837|Q515701|Q638608|Q7449091|,,,,1.0
Q54837|Q515701|Q7449091|Q638608|Q7444975|Q456632|,,,,1.0
Q54837|Q816826|Q7449091|Q21198|Q192060|Q676880|Q80993|Q131164|,,,1.0,
Q54925|,,,,1.0
Q54969|,,,,1.0
Q5498822|,,,,1.0
Q550258|,,,,1.0
Q5569949|,,,1.0,
Q560575|,,,,2.0
Q5641|Q22667|,,,,1.0
Q564805|Q744448|Q1667430|,,,,1.0
Q5689659|,,,,1.0
Q5697103|,,,,1.0
Q570018|,,,,1.0
Q570018|Q190721|Q102686|,,,,1.0
Q576342|,,,2.0,
Q579978|,,,,1.0
Q580689|,,,,1.0
Q583271|,,,,1.0
Q583336|,,,,1.0
Q5849|,,,,1.0
Q5849|Q10962|,,,,1.0
Q5862903|,,,2.0,122.0
Q5862903|Q12479|,,,,2.0
Q5862903|Q12479|Q33521|Q1257115|,,,,1.0
Q5862903|Q12479|Q847526|,,,,1.0
Q5862903|Q188444|,,,,1.0
Q5862903|Q188444|Q12479|,,,,1.0
Q5862903|Q2221775|Q1154848|,,,,1.0
Q5862903|Q76592|,,,,1.0
Q5862903|Q76592|Q131476|Q12479|,,,,2.0
Q5862903|Q847526|,,,,3.0
Q58734|Q167676|Q483666|Q381624|Q2346|Q2611095|,,,,1.0
Q58854|,,,,1.0
Q5891|,,,2.0,7.0
Q5891|Q156362|,,,,1.0
Q5891|Q21201|,,,,2.0
Q5891|Q668460|,,,,1.0
Q5891|Q74950|,,,,1.0
Q5891|Q8078|,,,,1.0
Q5891|Q81244|,,,1.0,
Q589518|,,,,1.0
Q590870|,,,5.0,9.0
Q59157|,,,,1.0
Q5915991|,,,,1.0
Q5935105|,,,,1.0
Q593644|,,,,2.0
Q5950039|,,,,1.0
Q595364|,,,,8.0
Q595364|Q1166618|Q467606|Q42989|,,,,1.0
Q595364|Q42989|,,,,2.0
Q59774|,,,,1.0
Q599991|Q514|,,,,1.0
Q60242|,1.0,,,
Q603399|,,,,1.0
Q6060491|,,,1.0,
Q607081|Q178803|,,,,1.0
Q611711|,,,1.0,
Q6138343|,,,,1.0
Q61509|Q112983|Q8261|,,,1.0,
Q615498|,,,1.0,2.0
Q617793|,,,,1.0
Q6199|,,,,2.0
Q622425|,,,,1.0
Q622512|,,,1.0,
Q622662|,,,,1.0
Q622812|,,,,1.0
Q623538|,,,,1.0
Q624044|,,,,1.0
Q6241|,,,,2.0
Q625510|,,,1.0,
Q627603|,,,,1.0
Q631521|,,,1.0,
Q633683|,1.0,,,
Q637284|,,,,2.0
Q638|,1.0,,4.0,22.0
Q638|Q1746926|,,,,1.0
Q638|Q9730|,,,,1.0
Q639493|Q7163|,,,1.0,
Q639669|,,,,1.0
Q640037|Q318438|Q5986917|,,,,1.0
Q640068|,,,,1.0
Q6408486|,,,,1.0
Q6420782|Q212944|,,,,1.0
Q644522|,,,,2.0
Q647525|Q1045712|,,,,1.0
Q648154|Q119190|,,,,1.0
Q6495391|,,,14.0,74.0
Q6495391|Q166542|,,,,1.0
Q6497044|,,,,1.0
Q6501221|Q149999|,,,,1.0
Q6502154|,,,,2.0
Q650483|,,,1.0,
Q652|Q238499|Q19814|Q74217|Q6689|,,,,1.0
Q653368|,,,,1.0
Q6534|Q44197|,,,,1.0
Q6554075|Q8434|,,,,1.0
Q6583695|,,,,1.0
Q65955|,,,1.0,
Q660910|,,,,1.0
Q660910|Q170978|,,,,1.0
Q6657015|,,,,1.0
Q668460|,,,,1.0
Q6689|Q2247727|Q1361756|Q1061140|Q766221|,,,,1.0
Q6689|Q7199|,,,,1.0
Q672598|,,,,1.0
Q674684|,,,,1.0
Q6774721|,,,,1.0
Q678363|,,,,2.0
Q679842|,,,,1.0
Q680004|Q11755949|,,,,1.0
Q682010|,,,1.0,1.0
Q682010|Q212431|Q213156|Q11633|Q93184|Q4796999|Q11634|Q683794|,,,1.0,
Q682558|,,,1.0,
Q688335|,,,,1.0
Q6886791|Q6159053|,,,,1.0
Q690068|Q69883|,,,1.0,
Q692218|,,,,1.0
Q692|,,,,1.0
Q6981670|,,,1.0,1.0
Q69883|,,,,1.0
Q708312|,,,,1.0
Q7094|,,,1.0,4.0
Q7094|Q7162|Q7202|,,,,1.0
Q7094|Q7202|Q7141|,,,1.0,
Q7108|,,,1.0,
Q7141|Q10908|Q10811|,,,1.0,
Q7150|,,,,2.0
Q7162115|Q158607|,,,,1.0
Q7162|,,,,1.0
Q7163|,,,7.0,20.0
Q7163|Q1857766|Q8242|,,,1.0,
Q7163|Q28545|,,,,1.0
Q7163|Q34178|Q9603|,,,,1.0
Q7163|Q3502712|,,,,1.0
Q7163|Q4488757|,,,,1.0
Q7163|Q483501|,,,,1.0
Q7163|Q7748|,,,,1.0
Q7163|Q8473|Q12818349|,,,,1.0
Q7167|,,,,1.0
Q7168|Q131683|,,,,1.0
Q7173|,,,1.0,
Q7175|,,,,1.0
Q7181|Q12831143|,,,,1.0
Q718|,,,,1.0
Q7201504|,,,,1.0
Q7202|,,,1.0,
Q7202|Q192275|Q920846|Q1074953|Q826582|,,,,1.0
Q7205|,,,,4.0
Q7205|Q785301|,,,,1.0
Q72142|,,,,1.0
Q7215|,,,,1.0
Q7215|Q6896043|,,,,1.0
Q7245788|,,,,1.0
Q72468|,,,,1.0
Q7252|,,,5.0,
Q7252|Q7167|,,,1.0,
Q7257|Q36442|Q1143546|Q7264|Q28793|Q44325|Q41630|Q34178|,,,,1.0
Q727659|,,,,1.0
Q729426|Q1643884|,,,,1.0
Q735|,,,1.0,2.0
Q738680|Q914395|,,,,1.0
Q74217|Q238499|Q19814|,,,,1.0
Q742333|,,,,4.0
Q742963|,,,,1.0
Q7435316|,,,,1.0
Q744448|Q1667082|Q1596387|,,,,1.0
Q745328|,,,,1.0
Q745692|Q1620918|,,,,1.0
Q746359|,,,,2.0
Q746359|Q1415395|Q184485|Q625568|,,,1.0,
Q746656|,,,,1.0
Q747381|Q8274|,,,,1.0
Q747713|,,,,1.0
Q7478098|,,,1.0,
Q748|,,,,1.0
Q74950|Q37260|,,,1.0,
Q750955|,,,,1.0
Q752171|,,,,1.0
Q754803|,,,,1.0
Q755179|,,,,1.0
Q7553|,,,3.0,3.0
Q7567541|,,,1.0,
Q758871|,,,,1.0
Q7590|,,,,1.0
Q7590|Q13219330|,,,,1.0
Q763631|,,,1.0,
Q765633|,,,,5.0
Q76592|,,,3.0,90.0
Q76592|Q12479|,,,1.0,12.0
Q76592|Q12482|,,,,1.0
Q76592|Q131476|,,,2.0,18.0
Q76592|Q131476|Q12479|,,,,2.0
Q76592|Q131476|Q12482|,,,,1.0
Q76592|Q131476|Q1336170|,,,,1.0
Q76592|Q131476|Q2878974|,,,,1.0
Q76592|Q21198|Q333464|,,,,1.0
Q76592|Q42989|,,,,2.0
Q76592|Q595364|,,,,1.0
Q76592|Q8087|,,,,1.0
Q76592|Q8087|Q874429|Q42989|,,,,1.0
Q76592|Q874429|,,,1.0,5.0
Q768502|,,,,2.0
Q7707|,,,,1.0
Q771220|,,,,1.0
Q7737|,,,,1.0
Q7748|,1.0,,1.0,22.0
Q7754|,,,6.0,150.0
Q7754|Q1166618|,,,,1.0
Q7754|Q1166618|Q12482|Q42989|,,,,1.0
Q7754|Q12479|,,,,14.0
Q7754|Q131476|,,,,1.0
Q7754|Q188444|,,,,4.0
Q7754|Q190549|,,,,21.0
Q7754|Q190549|Q12479|,,,,1.0
Q7754|Q190549|Q271977|,,,,2.0
Q7754|Q190549|Q5862903|,,,,1.0
Q7754|Q190549|Q5862903|Q131476|,,,,1.0
Q7754|Q193756|,,,,1.0
Q7754|Q21198|,,,,1.0
Q7754|Q271977|,,,2.0,14.0
Q7754|Q271977|Q42989|,,,,1.0
Q7754|Q271977|Q5862903|,,,,1.0
Q7754|Q42989|,,,,5.0
Q7754|Q5862903|,,,,6.0
Q7754|Q5862903|Q1166618|,,,,1.0
Q7754|Q76592|,,,,1.0
Q7754|Q76592|Q12479|,,,,2.0
Q7754|Q76592|Q12482|Q1336170|,,,,1.0
Q7754|Q76592|Q188444|Q42989|,,,,1.0
Q7754|Q8087|,,,,3.0
Q7754|Q8087|Q12479|,,,,1.0
Q7754|Q8087|Q41217|,,,,1.0
Q7754|Q874429|,,,,1.0
Q77590|,,,,3.0
Q77590|Q811115|,,,1.0,
Q7778|,,,,1.0
Q7782227|Q223693|Q122976|Q353956|Q2494|,,,1.0,
Q7782365|Q3578586|Q603159|,,,,1.0
Q7787|Q12554|,,,1.0,
Q7794|Q384001|,,,,1.0
Q7794|Q50675|,,,,1.0
Q779924|,,,,1.0
Q7834111|,,,,1.0
Q785222|,,,,1.0
Q7856|,,,,1.0
Q7889|,1.0,,7.0,99.0
Q7889|Q3798668|Q170519|,,,,1.0
Q789523|,,,,2.0
Q7922|,,,,2.0
Q7922|Q156035|,,,,1.0
Q7922|Q4531151|,,,1.0,
Q79890|,,,,1.0
Q80006|,,,,1.0
Q803925|,,,,1.0
Q80687|,,,1.0,
Q8070591|,,,,1.0
Q8078|Q44325|Q183216|,,,,1.0
Q8078|Q467606|,,,,1.0
Q808561|,,,,2.0
Q8087|,,,1.0,97.0
Q8087|Q12479|,,,,6.0
Q8087|Q12479|Q36180|,,,,1.0
Q8087|Q177409|Q876215|,,,,1.0
Q8087|Q209306|Q5498822|Q2190991|,,,1.0,
Q8087|Q42989|,,,,8.0
Q8087|Q76592|Q1062839|,,,,1.0
Q8087|Q874429|,,,,1.0
Q80968|,,,,1.0
Q809831|Q193210|Q592031|Q1517295|,,,,1.0
Q81009|,,,,2.0
Q81058|,,,,2.0
Q81096|,,,,2.0
Q81096|Q5367|,,,,1.0
Q811092|,,,,1.0
Q81197|,,,,1.0
Q8134|,,,,2.0
Q8134|Q160039|,,,,1.0
Q8134|Q7748|,,,,1.0
Q815297|,,,,1.0
Q8161|,,,,1.0
Q8162|,,,2.0,
Q8162|Q9288|Q9129|,,,,1.0
Q816871|,,,,1.0
Q8242|,,,,4.0
Q8242|Q7553|,,,,1.0
Q825754|Q697205|,,,,1.0
Q82604|,,,,1.0
Q826582|,,,1.0,
Q8274|,,,6.0,3.0
Q828279|,,,,1.0
Q829348|,,,1.0,
Q82955|,1.0,,21.0,484.0
Q82955|Q1930187|,,,,1.0
Q82955|Q36180|,,,,10.0
Q82955|Q36180|Q11030|,,,,1.0
Q82955|Q40348|,,,,1.0
Q82972|Q831198|Q2708569|,,,,1.0
Q83168|,,,,1.0
Q831768|Q7123960|Q33296|,,,,1.0
Q83219|Q722507|Q14620|,,,,1.0
Q833065|,,,,3.0
Q83341|,,,,1.0
Q83357|,,,1.0,
Q83371|,,,,2.0
Q83371|Q606654|Q11650|,,,,1.0
Q8341|,,,,2.0
Q834903|Q1109432|,,,,1.0
Q835153|Q126945|Q1642137|Q779054|Q652297|Q1130519|,,,,1.0
Q8361|,,,1.0,1.0
Q8362|,,,1.0,
Q837171|,,,,1.0
Q840400|,,,,1.0
Q840829|,,,,4.0
Q841408|,,,1.0,
Q8418|,,,1.0,
Q8421|,,,,2.0
Q8424|Q5615097|Q919765|Q2419207|,,,,1.0
Q8424|Q815820|,,,,1.0
Q842595|Q122252|,,,,1.0
Q8434|,,,2.0,2.0
Q8434|Q36442|Q7748|,,,,1.0
Q8434|Q7922|,,,1.0,
Q843900|,,,,1.0
Q843900|Q7205|,,,,1.0
Q844240|Q11660|,,,,1.0
Q844924|,,,3.0,102.0
Q8458|,,,2.0,
Q8458|Q223569|Q1536343|,,,1.0,
Q846566|Q80962|,,,1.0,
Q846742|,,,,1.0
Q8473|,,,,2.0
Q8473|Q42388|,,,,1.0
Q847526|,,,,22.0
Q847|,,,1.0,
Q849216|,,,,1.0
Q852732|,,,,9.0
Q853077|Q42989|,,,,1.0
Q853422|,,,,1.0
Q854851|,,,,1.0
Q855091|,,,,1.0
Q855159|,,,,1.0
Q856251|,,,,2.0
Q856574|,,,,5.0
Q856574|Q1368144|,,,2.0,2.0
Q858517|,,,,1.0
Q861536|,,,,1.0
Q861699|,,,,1.0
Q864191|,,,,1.0
Q869095|,,,,1.0
Q872|,,,,1.0
Q8733|,,,,1.0
Q874429|,,,5.0,74.0
Q874429|Q1166618|,,,,1.0
Q874429|Q12479|,,,,3.0
Q874429|Q42989|,,,1.0,6.0
Q874803|,,,,1.0
Q875490|,,,,2.0
Q875592|,,,,3.0
Q877729|,,,1.0,
Q878226|,,,,1.0
Q878226|Q37845|,,,,1.0
Q889|,,,,1.0
Q897511|Q21198|,,,,1.0
Q899719|,,,2.0,4.0
Q905243|Q901775|,,,,1.0
Q908684|,,,1.0,
Q908692|Q715396|,,,,1.0
Q908902|Q209402|Q735188|Q7100|,,,,1.0
Q908917|Q521|Q1063|Q11473|,,,,1.0
Q909459|,,,,1.0
Q911554|,,,,1.0
Q9142|,,,,1.0
Q9143|,,,,1.0
Q9143|Q2407|,,,,1.0
Q9174|,,,,4.0
Q926191|,,,1.0,
Q9268|Q432|Q335414|,,,,1.0
Q928357|,,,,1.0
Q930164|,,,,1.0
Q931309|Q161238|,,,,1.0
Q93204|,,,4.0,3.0
Q93204|Q188575|Q1401416|,,,,1.0
Q935586|,,,,1.0
Q937857|,,,,1.0
Q938714|,,,,2.0
Q941594|,,,,2.0
Q9418|Q21201|,,,,1.0
Q943929|Q599510|,,,1.0,
Q944|,,,,2.0
Q9465|,,,,1.0
Q9465|Q126842|,,,,1.0
Q9465|Q35986|Q180592|,,,,1.0
Q9465|Q538733|,,,,1.0
Q9465|Q9391|,,,1.0,
Q9471|,,,1.0,
Q9471|Q27654|Q35277|,,,,1.0
Q9471|Q484761|,,,,1.0
Q9471|Q491412|Q9465|,,,,1.0
Q948647|,,,1.0,
Q953045|,,,1.0,
Q955043|,,,,1.0
Q956832|,,,,3.0
Q9581|,,,1.0,1.0
Q959049|,,,,1.0
Q959782|,,,,2.0
Q9603|,,,,14.0
Q9603|Q335414|,,,,1.0
Q9603|Q45996|,,,,1.0
Q9603|Q482|Q233387|,,,,1.0
Q9603|Q82245|,,,,1.0
Q963619|,,,1.0,
Q965602|,,,,1.0
Q972132|Q794605|,,,1.0,
Q9730|,,,5.0,4.0
Q9730|Q1344|,,,2.0,
Q9764|,,,1.0,
Q9778|,,,,1.0
Q9778|Q11401|,,,,1.0
Q995600|,,,,1.0
Q997515|,,,,1.0
Q998555|,,,2.0,2.0
Q998555|Q1259197|,,,,1.0
Q998555|Q482919|,,,,2.0
Q998555|Q627603|,,,,1.0
