,nan,transgender female,intersex,fa'afafine,transgender male,male animal,woman,genderqueer,female,male,kathoey
287.0,,,,,,,,,2.0,1.0,
288.0,,,,,,,,,,2.0,
289.0,,,,,,,,,2.0,2.0,
290.0,,,,,,,,,2.0,5.0,
291.0,,,,,,,,,2.0,2.0,
292.0,,,,,,,,,,2.0,
294.0,,,,,,,,,,2.0,
295.0,,,,,,,,,,3.0,
296.0,,,,,,,,,,1.0,
297.0,,,,,,,,,1.0,2.0,
298.0,,,,,,,,,1.0,1.0,
300.0,,,,,,,,,,11.0,
302.0,,,,,,,,,,1.0,
303.0,1.0,,,,,,,,,5.0,
305.0,,,,,,,,,,3.0,
307.0,,,,,,,,,,1.0,
309.0,,,,,,,,,,1.0,
310.0,,,,,,,,,,3.0,
311.0,,,,,,,,,,2.0,
312.0,,,,,,,,,,3.0,
313.0,,,,,,,,,,3.0,
314.0,,,,,,,,,,3.0,
315.0,,,,,,,,,,5.0,
316.0,,,,,,,,,,1.0,
317.0,,,,,,,,,,6.0,
318.0,,,,,,,,,1.0,,
319.0,,,,,,,,,,2.0,
320.0,,,,,,,,,,8.0,
321.0,,,,,,,,,1.0,1.0,
322.0,,,,,,,,,,2.0,
324.0,,,,,,,,,2.0,,
325.0,,,,,,,,,3.0,6.0,
326.0,,,,,,,,,,1.0,
327.0,,,,,,,,,1.0,4.0,
328.0,,,,,,,,,,6.0,
329.0,,,,,,,,,,2.0,
330.0,,,,,,,,,,6.0,
331.0,,,,,,,,,1.0,3.0,
333.0,,,,,,,,,,1.0,
334.0,,,,,,,,,1.0,4.0,
335.0,,,,,,,,,,7.0,
336.0,,,,,,,,,,3.0,
337.0,,,,,,,,,1.0,3.0,
338.0,,,,,,,,,,2.0,
339.0,,,,,,,,,2.0,4.0,
340.0,,,,,,,,,2.0,6.0,
342.0,,,,,,,,,,2.0,
343.0,,,,,,,,,2.0,4.0,
344.0,,,,,,,,,1.0,5.0,
345.0,,,,,,,,,,4.0,
346.0,,,,,,,,,,1.0,
347.0,,,,,,,,,2.0,3.0,
348.0,,,,,,,,,,2.0,
350.0,,,,,,,,,,5.0,
351.0,,,,,,,,,1.0,1.0,
352.0,1.0,,,,,,,,,,
353.0,,,,,,,,,,1.0,
354.0,,,,,,,,,,3.0,
355.0,,,,,,,,,1.0,5.0,
356.0,,,,,,,,,1.0,,
357.0,,,,,,,,,,1.0,
358.0,,,,,,,,,,2.0,
359.0,,,,,,,,,,4.0,
360.0,,,,,,,,,1.0,4.0,
361.0,,,,,,,,,,2.0,
362.0,,,,,,,,,,1.0,
363.0,,,,,,,,,,2.0,
364.0,,,,,,,,,1.0,2.0,
365.0,,,,,,,,,,4.0,
366.0,,,,,,,,,,2.0,
368.0,,,,,,,,,2.0,2.0,
369.0,1.0,,,,,,,,,1.0,
370.0,,,,,,,,,,6.0,
371.0,,,,,,,,,,2.0,
372.0,,,,,,,,,,2.0,
373.0,,,,,,,,,,7.0,
374.0,,,,,,,,,1.0,3.0,
375.0,,,,,,,,,,4.0,
376.0,,,,,,,,,,2.0,
377.0,,,,,,,,,,3.0,
378.0,,,,,,,,,,2.0,
379.0,,,,,,,,,,2.0,
380.0,,,,,,,,,1.0,5.0,
381.0,,,,,,,,,,2.0,
382.0,,,,,,,,,,2.0,
383.0,2.0,,,,,,,,,1.0,
384.0,1.0,,,,,,,,2.0,2.0,
385.0,1.0,,,,,,,,1.0,6.0,
386.0,2.0,,,,,,,,1.0,2.0,
388.0,,,,,,,,,,3.0,
389.0,,,,,,,,,,2.0,
390.0,,,,,,,,,1.0,8.0,
392.0,,,,,,,,,,1.0,
393.0,,,,,,,,,1.0,1.0,
394.0,,,,,,,,,,3.0,
395.0,,,,,,,,,,3.0,
396.0,,,,,,,,,,2.0,
397.0,,,,,,,,,,1.0,
398.0,,,,,,,,,,2.0,
399.0,,,,,,,,,1.0,1.0,
400.0,,,,,,,,,1.0,10.0,
401.0,,,,,,,,,,4.0,
403.0,,,,,,,,,,1.0,
405.0,,,,,,,,,1.0,2.0,
406.0,,,,,,,,,,4.0,
407.0,,,,,,,,,,2.0,
408.0,,,,,,,,,1.0,,
409.0,,,,,,,,,,1.0,
410.0,,,,,,,,,1.0,5.0,
411.0,,,,,,,,,,2.0,
412.0,,,,,,,,,1.0,1.0,
415.0,,,,,,,,,1.0,4.0,
416.0,,,,,,,,,,1.0,
417.0,,,,,,,,,1.0,,
418.0,,,,,,,,,,2.0,
419.0,1.0,,,,,,,,,2.0,
420.0,,,,,,,,,1.0,7.0,
421.0,,,,,,,,,,1.0,
422.0,,,,,,,,,1.0,4.0,
423.0,1.0,,,,,,,,1.0,,
424.0,,,,,,,,,,1.0,
425.0,,,,,,,,,,3.0,
426.0,,,,,,,,,,3.0,
427.0,,,,,,,,,1.0,2.0,
428.0,,,,,,,,,,1.0,
429.0,,,,,,,,,,4.0,
430.0,,,,,,,,,,10.0,
432.0,,,,,,,,,1.0,,
433.0,,,,,,,,,,2.0,
435.0,,,,,,,,,,3.0,
436.0,,,,,,,,,1.0,2.0,
437.0,,,,,,,,,,2.0,
438.0,,,,,,,,,,2.0,
439.0,,,,,,,,,1.0,1.0,
440.0,,,,,,,,,1.0,13.0,
441.0,1.0,,,,,,,,1.0,1.0,
442.0,2.0,,,,,,,,1.0,1.0,
443.0,,,,,,,,,,1.0,
444.0,,,,,,,,,,3.0,
445.0,,,,,,,,,,4.0,
446.0,1.0,,,,,,,,1.0,2.0,
448.0,,,,,,,,,1.0,6.0,
449.0,,,,,,,,,,2.0,
450.0,,,,,,,,,,10.0,
451.0,,,,,,,,,1.0,2.0,
452.0,,,,,,,,,1.0,2.0,
453.0,,,,,,,,,,2.0,
454.0,,,,,,,,,,3.0,
455.0,1.0,,,,,,,,1.0,3.0,
456.0,2.0,,,,,,,,,4.0,
457.0,1.0,,,,,,,,1.0,,
458.0,1.0,,,,,,,,,2.0,
459.0,1.0,,,,,,,,,1.0,
460.0,,,,,,,,,,10.0,
461.0,1.0,,,,,,,,,2.0,
462.0,1.0,,,,,,,,,,
463.0,,,,,,,,,1.0,,
464.0,2.0,,,,,,,,,4.0,
465.0,,,,,,,,,,4.0,
466.0,,,,,,,,,,2.0,
467.0,1.0,,,,,,,,,5.0,
468.0,,,,,,,,,,2.0,
469.0,1.0,,,,,,,,,3.0,
470.0,1.0,,,,,,,,,8.0,
472.0,,,,,,,,,,1.0,
473.0,,,,,,,,,,3.0,
474.0,,,,,,,,,,3.0,
475.0,1.0,,,,,,,,2.0,3.0,
476.0,1.0,,,,,,,,,3.0,
478.0,,,,,,,,,,1.0,
479.0,1.0,,,,,,,,,,
480.0,,,,,,,,,1.0,14.0,
482.0,,,,,,,,,,3.0,
483.0,,,,,,,,,,3.0,
484.0,1.0,,,,,,,,,2.0,
485.0,,,,,,,,,,4.0,
486.0,,,,,,,,,,2.0,
487.0,,,,,,,,,1.0,5.0,
488.0,1.0,,,,,,,,,1.0,
489.0,,,,,,,,,,2.0,
490.0,,,,,,,,,,13.0,
491.0,,,,,,,,,,2.0,
492.0,2.0,,,,,,,,,2.0,
493.0,,,,,,,,,,4.0,
494.0,,,,,,,,,,1.0,
495.0,1.0,,,,,,,,2.0,4.0,
496.0,1.0,,,,,,,,,5.0,
497.0,,,,,,,,,,5.0,
498.0,,,,,,,,,,1.0,
499.0,,,,,,,,,1.0,3.0,
500.0,,,,,,,,,1.0,10.0,
501.0,,,,,,,,,1.0,5.0,
502.0,,,,,,,,,,3.0,
503.0,,,,,,,,,,4.0,
504.0,1.0,,,,,,,,,2.0,
505.0,,,,,,,,,,5.0,
506.0,1.0,,,,,,,,1.0,1.0,
507.0,1.0,,,,,,,,,3.0,
508.0,,,,,,,,,,3.0,
509.0,1.0,,,,,,,,,2.0,
510.0,,,,,,,,,4.0,3.0,
511.0,1.0,,,,,,,,,1.0,
512.0,,,,,,,,,,4.0,
513.0,,,,,,,,,,2.0,
515.0,1.0,,,,,,,,1.0,4.0,
516.0,,,,,,,,,1.0,2.0,
517.0,1.0,,,,,,,,,1.0,
518.0,,,,,,,,,2.0,4.0,
519.0,1.0,,,,,,,,,,
520.0,,,,,,,,,,16.0,
521.0,,,,,,,,,,3.0,
522.0,1.0,,,,,,,,,4.0,
523.0,,,,,,,,,,3.0,
524.0,,,,,,,,,,9.0,
525.0,,,,,,,,,1.0,8.0,
526.0,,,,,,,,,,2.0,
527.0,,,,,,,,,,2.0,
528.0,2.0,,,,,,,,1.0,,
529.0,1.0,,,,,,,,,1.0,
530.0,1.0,,,,,,,,1.0,6.0,
531.0,,,,,,,,,,3.0,
532.0,,,,,,,,,,4.0,
533.0,1.0,,,,,,,,,,
534.0,,,,,,,,,1.0,4.0,
535.0,,,,,,,,,,6.0,
536.0,,,,,,,,,1.0,4.0,
537.0,,,,,,,,,,2.0,
538.0,,,,,,,,,,3.0,
539.0,1.0,,,,,,,,1.0,2.0,
540.0,,,,,,,,,1.0,8.0,
541.0,1.0,,,,,,,,,2.0,
542.0,1.0,,,,,,,,,6.0,
543.0,,,,,,,,,1.0,1.0,
544.0,,,,,,,,,2.0,,
545.0,1.0,,,,,,,,1.0,3.0,
546.0,1.0,,,,,,,,,,
547.0,,,,,,,,,1.0,1.0,
548.0,,,,,,,,,,1.0,
549.0,1.0,,,,,,,,,1.0,
550.0,1.0,,,,,,,,,8.0,
551.0,,,,,,,,,1.0,2.0,
552.0,,,,,,,,,,2.0,
553.0,,,,,,,,,,3.0,
554.0,,,,,,,,,1.0,3.0,
555.0,,,,,,,,,,1.0,
556.0,,,,,,,,,1.0,1.0,
557.0,,,,,,,,,,3.0,
558.0,,,,,,,,,2.0,3.0,
559.0,,,,,,,,,,2.0,
560.0,,,,,,,,,,9.0,
561.0,,,,,,,,,1.0,,
562.0,,,,,,,,,,1.0,
563.0,,,,,,,,,,2.0,
564.0,,,,,,,,,,3.0,
565.0,,,,,,,,,2.0,5.0,
566.0,,,,,,,,,2.0,3.0,
567.0,,,,,,,,,,2.0,
568.0,,,,,,,,,1.0,4.0,
569.0,,,,,,,,,1.0,1.0,
570.0,,,,,,,,,1.0,9.0,
571.0,,,,,,,,,,4.0,
572.0,,,,,,,,,,2.0,
573.0,1.0,,,,,,,,,6.0,
574.0,1.0,,,,,,,,,4.0,
575.0,,,,,,,,,1.0,5.0,
576.0,,,,,,,,,,2.0,
577.0,,,,,,,,,1.0,1.0,
578.0,2.0,,,,,,,,,1.0,
579.0,,,,,,,,,,2.0,
580.0,2.0,,,,,,,,2.0,12.0,
581.0,1.0,,,,,,,,,2.0,
582.0,,,,,,,,,,4.0,
583.0,,,,,,,,,,4.0,
584.0,,,,,,,,,1.0,3.0,
585.0,,,,,,,,,,9.0,
586.0,2.0,,,,,,,,,2.0,
587.0,1.0,,,,,,,,,3.0,
588.0,,,,,,,,,,4.0,
589.0,,,,,,,,,,3.0,
590.0,,,,,,,,,1.0,10.0,
591.0,1.0,,,,,,,,1.0,3.0,
592.0,,,,,,,,,2.0,2.0,
593.0,,,,,,,,,,3.0,
594.0,1.0,,,,,,,,2.0,5.0,
595.0,1.0,,,,,,,,2.0,7.0,
596.0,,,,,,,,,,6.0,
597.0,,,,,,,,,1.0,2.0,
598.0,,,,,,,,,,4.0,
599.0,1.0,,,,,,,,,2.0,
600.0,1.0,,,,,,,,,11.0,
601.0,,,,,,,,,2.0,1.0,
602.0,,,,,,,,,1.0,9.0,
603.0,,,,,,,,,,7.0,
604.0,1.0,,,,,,,,,3.0,
605.0,,,,,,,,,1.0,5.0,
606.0,,,,,,,,,,3.0,
607.0,,,,,,,,,1.0,4.0,
608.0,,,,,,,,,1.0,2.0,
609.0,,,,,,,,,,1.0,
610.0,,,,,,,,,,7.0,
611.0,,,,,,,,,1.0,1.0,
612.0,,,,,,,,,1.0,5.0,
613.0,1.0,,,,,,,,,2.0,
614.0,,,,,,,,,3.0,5.0,
615.0,,,,,,,,,1.0,5.0,
616.0,,,,,,,,,,4.0,
617.0,1.0,,,,,,,,,3.0,
618.0,,,,,,,,,,4.0,
619.0,1.0,,,,,,,,,4.0,
620.0,,,,,,,,,,6.0,
622.0,,,,,,,,,1.0,5.0,
623.0,,,,,,,,,,3.0,
624.0,,,,,,,,,2.0,4.0,
625.0,,,,,,,,,,5.0,
626.0,,,,,,,,,4.0,5.0,
627.0,,,,,,,,,1.0,4.0,
628.0,1.0,,,,,,,,,3.0,
629.0,,,,,,,,,,2.0,
630.0,,,,,,,,,3.0,13.0,
631.0,,,,,,,,,,4.0,
632.0,,,,,,,,,,3.0,
633.0,1.0,,,,,,,,1.0,2.0,
634.0,1.0,,,,,,,,,6.0,
635.0,,,,,,,,,1.0,8.0,
636.0,,,,,,,,,1.0,3.0,
637.0,,,,,,,,,1.0,2.0,
638.0,,,,,,,,,,3.0,
639.0,,,,,,,,,1.0,3.0,
640.0,1.0,,,,,,,,1.0,13.0,
641.0,,,,,,,,,,3.0,
642.0,,,,,,,,,,4.0,
643.0,,,,,,,,,,3.0,
644.0,,,,,,,,,,5.0,
645.0,,,,,,,,,1.0,6.0,
646.0,,,,,,,,,1.0,4.0,
647.0,1.0,,,,,,,,,2.0,
648.0,,,,,,,,,,2.0,
649.0,,,,,,,,,,2.0,
650.0,,,,,,,,,2.0,12.0,
651.0,1.0,,,,,,,,,2.0,
652.0,,,,,,,,,,4.0,
653.0,1.0,,,,,,,,,4.0,
654.0,,,,,,,,,1.0,,
655.0,,,,,,,,,,6.0,
656.0,,,,,,,,,,4.0,
657.0,,,,,,,,,,4.0,
658.0,,,,,,,,,,2.0,
659.0,,,,,,,,,1.0,3.0,
660.0,,,,,,,,,3.0,11.0,
661.0,,,,,,,,,2.0,6.0,
662.0,1.0,,,,,,,,,6.0,
663.0,,,,,,,,,,4.0,
664.0,,,,,,,,,1.0,1.0,
665.0,,,,,,,,,1.0,6.0,
666.0,,,,,,,,,,1.0,
668.0,1.0,,,,,,,,,3.0,
669.0,,,,,,,,,1.0,3.0,
670.0,,,,,,,,,1.0,11.0,
671.0,1.0,,,,,,,,,,
672.0,,,,,,,,,,5.0,
673.0,,,,,,,,,1.0,6.0,
674.0,,,,,,,,,,2.0,
675.0,,,,,,,,,,2.0,
676.0,1.0,,,,,,,,1.0,3.0,
677.0,,,,,,,,,,2.0,
678.0,,,,,,,,,,4.0,
679.0,,,,,,,,,1.0,3.0,
680.0,,,,,,,,,2.0,11.0,
681.0,2.0,,,,,,,,,4.0,
682.0,,,,,,,,,,3.0,
683.0,2.0,,,,,,,,,4.0,
684.0,,,,,,,,,1.0,3.0,
685.0,,,,,,,,,1.0,8.0,
686.0,,,,,,,,,1.0,1.0,
687.0,,,,,,,,,,3.0,
688.0,,,,,,,,,,6.0,
689.0,,,,,,,,,,1.0,
690.0,,,,,,,,,1.0,10.0,
691.0,,,,,,,,,,1.0,
693.0,,,,,,,,,,2.0,
694.0,1.0,,,,,,,,1.0,2.0,
695.0,,,,,,,,,,7.0,
696.0,,,,,,,,,,1.0,
697.0,,,,,,,,,,4.0,
698.0,,,,,,,,,,2.0,
699.0,1.0,,,,,,,,1.0,5.0,
700.0,,,,,,,,,,10.0,
701.0,,,,,,,,,1.0,5.0,
702.0,,,,,,,,,,2.0,
703.0,,,,,,,,,,2.0,
704.0,,,,,,,,,,7.0,
705.0,,,,,,,,,,5.0,
706.0,,,,,,,,,,5.0,
707.0,,,,,,,,,,1.0,
708.0,1.0,,,,,,,,,3.0,
709.0,,,,,,,,,,8.0,
710.0,,,,,,,,,2.0,4.0,
711.0,,,,,,,,,,3.0,
712.0,,,,,,,,,,8.0,
713.0,,,,,,,,,,4.0,
714.0,,,,,,,,,,5.0,
715.0,,,,,,,,,2.0,6.0,
716.0,,,,,,,,,,4.0,
717.0,,,,,,,,,1.0,3.0,
718.0,,,,,,,,,1.0,7.0,
719.0,,,,,,,,,1.0,3.0,
720.0,,,,,,,,,2.0,7.0,
721.0,,,,,,,,,,6.0,
722.0,,,,,,,,,,3.0,
723.0,1.0,,,,,,,,,3.0,
724.0,1.0,,,,,,,,,2.0,
725.0,1.0,,,,,,,,,2.0,
726.0,1.0,,,,,,,,,2.0,
727.0,,,,,,,,,,5.0,
728.0,,,,,,,,,,4.0,
729.0,,,,,,,,,,4.0,
730.0,,,,,,,,,,5.0,
731.0,,,,,,,,,,3.0,
732.0,,,,,,,,,,2.0,
733.0,,,,,,,,,,6.0,
734.0,,,,,,,,,,4.0,
735.0,1.0,,,,,,,,1.0,6.0,
736.0,,,,,,,,,,2.0,
737.0,,,,,,,,,,7.0,
738.0,,,,,,,,,,5.0,
739.0,,,,,,,,,,3.0,
740.0,1.0,,,,,,,,,11.0,
741.0,,,,,,,,,1.0,1.0,
742.0,,,,,,,,,,9.0,
743.0,,,,,,,,,,2.0,
744.0,,,,,,,,,,2.0,
745.0,1.0,,,,,,,,,8.0,
746.0,,,,,,,,,,3.0,
747.0,,,,,,,,,,1.0,
748.0,,,,,,,,,,2.0,
750.0,,,,,,,,,,18.0,
751.0,,,,,,,,,,4.0,
752.0,,,,,,,,,1.0,3.0,
753.0,1.0,,,,,,,,1.0,,
754.0,,,,,,,,,1.0,3.0,
755.0,,,,,,,,,,2.0,
756.0,,,,,,,,,,6.0,
757.0,,,,,,,,,1.0,3.0,
758.0,,,,,,,,,2.0,8.0,
759.0,,,,,,,,,,5.0,
760.0,1.0,,,,,,,,2.0,5.0,
761.0,,,,,,,,,,5.0,
763.0,,,,,,,,,1.0,2.0,
764.0,,,,,,,,,,4.0,
765.0,,,,,,,,,2.0,3.0,
766.0,,,,,,,,,,3.0,
767.0,,,,,,,,,,6.0,
768.0,,,,,,,,,1.0,3.0,
769.0,3.0,,,,,,,,1.0,3.0,
770.0,,,,,,,,,1.0,8.0,
771.0,,,,,,,,,,4.0,
772.0,,,,,,,,,,8.0,
773.0,,,,,,,,,,8.0,
774.0,,,,,,,,,,4.0,
775.0,,,,,,,,,2.0,9.0,
776.0,1.0,,,,,,,,,4.0,
777.0,,,,,,,,,,3.0,
778.0,,,,,,,,,1.0,10.0,
779.0,,,,,,,,,,3.0,
780.0,,,,,,,,,2.0,10.0,
781.0,,,,,,,,,2.0,2.0,
782.0,,,,,,,,,,1.0,
783.0,,,,,,,,,,1.0,
784.0,,,,,,,,,1.0,2.0,
785.0,,,,,,,,,,3.0,
786.0,,,,,,,,,1.0,7.0,
787.0,,,,,,,,,,4.0,
788.0,,,,,,,,,1.0,6.0,
789.0,,,,,,,,,1.0,,
790.0,,,,,,,,,2.0,10.0,
791.0,,,,,,,,,,3.0,
792.0,,,,,,,,,,3.0,
793.0,,,,,,,,,,5.0,
794.0,,,,,,,,,,3.0,
795.0,,,,,,,,,1.0,7.0,
796.0,1.0,,,,,,,,1.0,5.0,
797.0,,,,,,,,,,5.0,
798.0,,,,,,,,,,2.0,
799.0,,,,,,,,,,3.0,
800.0,,,,,,,,,,15.0,
801.0,1.0,,,,,,,,1.0,5.0,
802.0,,,,,,,,,,6.0,
803.0,,,,,,,,,1.0,3.0,
804.0,,,,,,,,,1.0,3.0,
805.0,1.0,,,,,,,,1.0,3.0,
806.0,,,,,,,,,,1.0,
807.0,,,,,,,,,1.0,3.0,
808.0,,,,,,,,,,3.0,
809.0,1.0,,,,,,,,,2.0,
810.0,,,,,,,,,1.0,15.0,
811.0,,,,,,,,,,3.0,
812.0,,,,,,,,,2.0,5.0,
813.0,,,,,,,,,,4.0,
814.0,,,,,,,,,,3.0,
815.0,,,,,,,,,1.0,7.0,
816.0,,,,,,,,,,1.0,
817.0,1.0,,,,,,,,,3.0,
818.0,,,,,,,,,,3.0,
819.0,,,,,,,,,,3.0,
820.0,1.0,,,,,,,,1.0,15.0,
821.0,,,,,,,,,,1.0,
822.0,,,,,,,,,,2.0,
823.0,,,,,,,,,1.0,4.0,
824.0,1.0,,,,,,,,,6.0,
825.0,,,,,,,,,1.0,5.0,
826.0,1.0,,,,,,,,1.0,3.0,
827.0,,,,,,,,,3.0,6.0,
828.0,,,,,,,,,2.0,4.0,
829.0,,,,,,,,,1.0,4.0,
830.0,1.0,,,,,,,,,18.0,
831.0,,,,,,,,,,4.0,
832.0,,,,,,,,,,2.0,
833.0,,,,,,,,,,3.0,
834.0,,,,,,,,,2.0,3.0,
835.0,1.0,,,,,,,,,10.0,
836.0,,,,,,,,,,7.0,
837.0,,,,,,,,,,3.0,
838.0,,,,,,,,,,3.0,
839.0,,,,,,,,,,4.0,
840.0,,,,,,,,,3.0,9.0,
841.0,,,,,,,,,,4.0,
842.0,,,,,,,,,1.0,5.0,
843.0,,,,,,,,,1.0,2.0,
844.0,2.0,,,,,,,,1.0,4.0,
845.0,,,,,,,,,2.0,7.0,
846.0,,,,,,,,,,4.0,
847.0,,,,,,,,,,6.0,
848.0,,,,,,,,,,2.0,
849.0,,,,,,,,,,1.0,
850.0,,,,,,,,,1.0,22.0,
851.0,,,,,,,,,,1.0,
852.0,,,,,,,,,2.0,4.0,
853.0,,,,,,,,,,2.0,
854.0,,,,,,,,,,4.0,
855.0,,,,,,,,,,8.0,
856.0,,,,,,,,,,2.0,
857.0,,,,,,,,,,3.0,
858.0,,,,,,,,,1.0,8.0,
859.0,,,,,,,,,,3.0,
860.0,,,,,,,,,4.0,5.0,
861.0,,,,,,,,,,3.0,
862.0,,,,,,,,,1.0,7.0,
863.0,,,,,,,,,1.0,6.0,
864.0,1.0,,,,,,,,1.0,4.0,
865.0,,,,,,,,,3.0,1.0,
866.0,,,,,,,,,,6.0,
867.0,,,,,,,,,,6.0,
868.0,,,,,,,,,1.0,2.0,
869.0,,,,,,,,,,3.0,
870.0,,,,,,,,,1.0,11.0,
871.0,,,,,,,,,,5.0,
872.0,,,,,,,,,,7.0,
873.0,,,,,,,,,1.0,7.0,
874.0,,,,,,,,,1.0,3.0,
875.0,,,,,,,,,2.0,8.0,
876.0,,,,,,,,,1.0,3.0,
877.0,,,,,,,,,3.0,7.0,
878.0,,,,,,,,,,4.0,
879.0,,,,,,,,,2.0,1.0,
880.0,,,,,,,,,4.0,15.0,
881.0,,,,,,,,,,2.0,
882.0,,,,,,,,,,7.0,
883.0,,,,,,,,,,5.0,
884.0,,,,,,,,,,1.0,
885.0,,,,,,,,,1.0,14.0,
886.0,2.0,,,,,,,,,5.0,
887.0,1.0,,,,,,,,1.0,4.0,
888.0,,,,,,,,,,6.0,
889.0,,,,,,,,,,4.0,
890.0,,,,,,,,,2.0,10.0,
891.0,1.0,,,,,,,,,3.0,
892.0,1.0,,,,,,,,1.0,4.0,
893.0,,,,,,,,,1.0,6.0,
894.0,,,,,,,,,2.0,3.0,
895.0,,,,,,,,,1.0,8.0,
896.0,,,,,,,,,1.0,3.0,
897.0,,,,,,,,,1.0,4.0,
898.0,,,,,,,,,,5.0,
899.0,,,,,,,,,,7.0,
900.0,,,,,,,,,,18.0,
902.0,,,,,,,,,2.0,6.0,
903.0,,,,,,,,,,5.0,
904.0,,,,,,,,,1.0,5.0,
905.0,,,,,,,,,1.0,7.0,
906.0,1.0,,,,,,,,2.0,6.0,
907.0,,,,,,,,,,3.0,
908.0,,,,,,,,,,4.0,
909.0,1.0,,,,,,,,,3.0,
910.0,,,,,,,,,6.0,16.0,
911.0,,,,,,,,,,7.0,
912.0,2.0,,,,,,,,1.0,8.0,
913.0,,,,,,,,,2.0,5.0,
914.0,,,,,,,,,2.0,6.0,
915.0,,,,,,,,,1.0,9.0,
916.0,,,,,,,,,,2.0,
917.0,,,,,,,,,,5.0,
918.0,,,,,,,,,,4.0,
919.0,,,,,,,,,,5.0,
920.0,,,,,,,,,,16.0,
921.0,,,,,,,,,,5.0,
922.0,2.0,,,,,,,,,6.0,
923.0,,,,,,,,,,7.0,
924.0,,,,,,,,,,11.0,
925.0,,,,,,,,,3.0,14.0,
926.0,,,,,,,,,,4.0,
927.0,,,,,,,,,1.0,6.0,
928.0,,,,,,,,,,4.0,
929.0,1.0,,,,,,,,1.0,3.0,
930.0,1.0,,,,,,,,,11.0,
931.0,,,,,,,,,2.0,7.0,
932.0,,,,,,,,,2.0,4.0,
933.0,,,,,,,,,,4.0,
934.0,1.0,,,,,,,,,3.0,
935.0,1.0,,,,,,,,4.0,10.0,
936.0,1.0,,,,,,,,,4.0,
937.0,,,,,,,,,,6.0,
938.0,,,,,,,,,1.0,8.0,
939.0,,,,,,,,,,6.0,
940.0,,,,,,,,,,20.0,
941.0,,,,,,,,,1.0,5.0,
942.0,,,,,,,,,2.0,7.0,
943.0,1.0,,,,,,,,2.0,4.0,
944.0,1.0,,,,,,,,,8.0,
945.0,,,,,,,,,,5.0,
946.0,2.0,,,,,,,,1.0,3.0,
947.0,2.0,,,,,,,,1.0,3.0,
948.0,,,,,,,,,1.0,7.0,
949.0,,,,,,,,,2.0,4.0,
950.0,1.0,,,,,,,,4.0,23.0,
951.0,,,,,,,,,,9.0,
952.0,,,,,,,,,2.0,4.0,
953.0,1.0,,,,,,,,,7.0,
954.0,,,,,,,,,,6.0,
955.0,1.0,,,,,,,,2.0,13.0,
956.0,,,,,,,,,1.0,2.0,
957.0,1.0,,,,,,,,1.0,7.0,
958.0,,,,,,,,,1.0,8.0,
959.0,1.0,,,,,,,,,4.0,
960.0,,,,,,,,,2.0,19.0,
961.0,1.0,,,,,,,,1.0,6.0,
962.0,,,,,,,,,1.0,4.0,
963.0,1.0,,,,,,,,1.0,8.0,
964.0,,,,,,,,,2.0,3.0,
965.0,,,,,,,,,3.0,10.0,
966.0,,,,,,,,,,5.0,
967.0,,,,,,,,,,8.0,
968.0,,,,,,,,,3.0,6.0,
969.0,,,,,,,,,,5.0,
970.0,,,,,,,,,2.0,19.0,
971.0,2.0,,,,,,,,,6.0,
972.0,,,,,,,,,3.0,9.0,
973.0,1.0,,,,,,,,,7.0,
974.0,,,,,,,,,1.0,4.0,
975.0,,,,,,,,,2.0,13.0,
976.0,,,,,,,,,1.0,1.0,
977.0,,,,,,,,,2.0,3.0,
978.0,,,,,,,,,2.0,6.0,
979.0,,,,,,,,,2.0,2.0,
980.0,1.0,,,,,,,,3.0,18.0,
981.0,2.0,,,,,,,,,5.0,
982.0,,,,,,,,,1.0,4.0,
983.0,,,,,,,,,,5.0,
984.0,,,,,,,,,3.0,,
985.0,1.0,,,,,,,,,15.0,
986.0,,,,,,,,,,7.0,
987.0,,,,,,,,,1.0,5.0,
988.0,,,,,,,,,1.0,6.0,
989.0,,,,,,,,,1.0,6.0,
